snr_level,filename,si_sdr_mixture,si_sdr_separated,si_sdr_improvement,sdr_mixture,sdr_separated,sdr_improvement,sir_mixture,sir_separated,sir_improvement,f1_clean,f1_mixed,f1_separated
-15,sample_17_mixed.wav,-14.878729820251465,-11.854623794555664,3.024106025695801,-14.907269394188923,-11.590078449493198,3.3171909446957244,-14.907269394188923,-10.971388995053088,3.9358803991358347,1.0,0.0,1.0
-15,sample_18_mixed.wav,-15.106816291809082,-12.036356925964355,3.0704593658447266,-14.999982534330709,-11.761158125127213,3.2388244092034952,-14.999982534330709,-11.002089656139997,3.9978928781907115,1.0,0.0,0.0
-15,sample_19_mixed.wav,-15.650354385375977,-12.729373931884766,2.920980453491211,-14.831851073538546,-12.390488073122725,2.441363000415821,-14.831851073538546,-11.70039107910277,3.131459994435776,1.0,0.0,0.0
-15,sample_20_mixed.wav,-15.53247356414795,-12.149344444274902,3.383129119873047,-14.955667989970928,-12.005715829386174,2.949952160584754,-14.955667989970928,-11.410284568042627,3.5453834219283014,1.0,0.0,0.0
-15,sample_21_mixed.wav,-14.369575500488281,-11.840352058410645,2.5292234420776367,-13.96555442608104,-11.411805873706257,2.553748552374783,-13.96555442608104,-10.151368000427581,3.8141864256534586,1.0,1.0,1.0
-15,sample_22_mixed.wav,-15.00222396850586,-13.35040283203125,1.6518211364746094,-14.981029578215935,-13.03135877253667,1.9496708056792649,-14.981029578215935,-11.639234701359955,3.34179487685598,1.0,0.0,0.0
-15,sample_23_mixed.wav,-15.11186695098877,-9.129608154296875,5.9822587966918945,-14.401598246196878,-8.75825449794193,5.643343748254948,-14.401598246196878,-7.5188210314206465,6.882777214776231,1.0,0.0,0.0
-15,sample_24_mixed.wav,-15.020061492919922,-13.708968162536621,1.3110933303833008,-14.960080942520639,-13.115598513048724,1.844482429471915,-14.960080942520639,-11.675620356331052,3.284460586189587,1.0,0.0,1.0
-15,sample_25_mixed.wav,-14.971603393554688,-10.985143661499023,3.986459732055664,-14.998292057925886,-10.626820198205122,4.371471859720764,-14.998292057925886,-9.192141150970828,5.806150906955057,1.0,1.0,1.0
-15,sample_26_mixed.wav,-14.988334655761719,-14.282258987426758,0.7060756683349609,-14.999811606087523,-14.117458780652223,0.8823528254352997,-14.999811606087523,-13.487735870907905,1.512075735179618,1.0,1.0,1.0
-15,sample_27_mixed.wav,-14.949864387512207,-7.536171913146973,7.413692474365234,-14.999728400519771,-7.372192492970178,7.627535907549594,-14.999728400519771,-4.598461106851704,10.401267293668067,1.0,0.0,1.0
-15,sample_28_mixed.wav,-14.886530876159668,-12.594791412353516,2.2917394638061523,-14.999670445960929,-12.273366957307502,2.7263034886534268,-14.999670445960929,-11.180765424645354,3.818905021315574,1.0,0.0,1.0
-15,sample_29_mixed.wav,-15.008623123168945,-14.784159660339355,0.22446346282958984,-14.999928699492093,-14.526847170387466,0.4730815291046273,-14.999928699492093,-13.79517326008322,1.2047554394088724,1.0,1.0,1.0
-15,sample_30_mixed.wav,-16.06957244873047,-7.415595054626465,8.653977394104004,-13.738456464613895,-6.930643695677344,6.807812768936551,-13.738456464613895,-5.506662303026566,8.23179416158733,1.0,1.0,1.0
-15,sample_31_mixed.wav,-15.448403358459473,-7.027088165283203,8.42131519317627,-12.58607918044217,-6.907188449572681,5.6788907308694885,-12.58607918044217,-5.044380411715421,7.541698768726748,1.0,1.0,1.0
-15,sample_32_mixed.wav,-15.008495330810547,-8.654486656188965,6.354008674621582,-14.999760802991496,-8.122739269458728,6.877021533532767,-14.999760802991496,-6.924300631933432,8.075460171058063,0.0,0.0,1.0
-15,sample_33_mixed.wav,-12.56910514831543,-10.725850105285645,1.8432550430297852,-10.681558331801373,-10.492780694751376,0.18877763704999673,-10.681558331801373,-9.812007676832845,0.8695506549685277,1.0,1.0,1.0
-15,sample_34_mixed.wav,-14.094427108764648,-12.950272560119629,1.1441545486450195,-14.05934934265953,-12.838662492078317,1.2206868505812132,-14.05934934265953,-12.178832861085091,1.880516481574439,1.0,0.0,0.0
-15,sample_35_mixed.wav,-15.074213027954102,-13.729040145874023,1.3451728820800781,-14.999380881258695,-13.502017972655091,1.4973629086036038,-14.999380881258695,-13.108940011340472,1.8904408699182227,1.0,0.0,0.0
-15,sample_36_mixed.wav,-14.929025650024414,-9.838052749633789,5.090972900390625,-14.999945867723014,-9.701269011815869,5.298676855907145,-14.999945867723014,-8.99766131068822,6.002284557034793,1.0,0.0,0.0
-15,sample_37_mixed.wav,-15.520822525024414,-12.207357406616211,3.313465118408203,-14.765385140860875,-11.845966221260225,2.91941891960065,-14.765385140860875,-11.19624541087151,3.569139729989365,1.0,0.0,1.0
-15,sample_38_mixed.wav,-14.946222305297852,-12.543800354003906,2.4024219512939453,-14.999965536223668,-12.29545594730131,2.704509588922358,-14.999965536223668,-11.613461114597246,3.3865044216264213,1.0,0.0,1.0
-15,sample_39_mixed.wav,-14.988937377929688,-14.40590763092041,0.5830297470092773,-14.999934899063781,-14.137432212728974,0.8625026863348069,-14.999934899063781,-13.418435575556781,1.5814993235069998,1.0,1.0,1.0
-15,sample_40_mixed.wav,-15.02341079711914,-12.055475234985352,2.967935562133789,-14.568898706670897,-11.581243461368992,2.987655245301905,-14.568898706670897,-9.6494124029915,4.919486303679397,1.0,1.0,0.0
-15,sample_41_mixed.wav,-15.167734146118164,-9.148881912231445,6.018852233886719,-13.504265041680767,-8.926459960093423,4.577805081587345,-13.504265041680767,-6.828763108603441,6.675501933077326,1.0,1.0,1.0
-15,sample_42_mixed.wav,-14.851390838623047,-14.761211395263672,0.090179443359375,-14.929254035305085,-14.06821456476693,0.8610394705381559,-14.929254035305085,-13.496922103102023,1.4323319322030628,1.0,0.0,0.0
-15,sample_43_mixed.wav,-14.85629940032959,-12.683128356933594,2.173171043395996,-14.832789064774854,-12.377989812582392,2.454799252192462,-14.832789064774854,-11.795265746334868,3.0375233184399857,1.0,0.0,0.0
-15,sample_44_mixed.wav,-14.845819473266602,-12.498473167419434,2.347346305847168,-14.798264202829568,-12.356703672011237,2.4415605308183306,-14.798264202829568,-11.780273549618341,3.0179906532112266,1.0,0.0,1.0
-15,sample_45_mixed.wav,-15.260444641113281,-12.122312545776367,3.138132095336914,-14.928415656317064,-11.608577186795356,3.3198384695217076,-14.928415656317064,-10.688048769008356,4.240366887308708,1.0,0.0,1.0
-15,sample_46_mixed.wav,-14.987591743469238,-13.582033157348633,1.4055585861206055,-14.987408174015904,-13.024156812315796,1.9632513617001077,-14.987408174015904,-12.178497802188208,2.8089103718276967,1.0,1.0,0.0
-15,sample_47_mixed.wav,-15.21824836730957,-10.140024185180664,5.078224182128906,-14.479902169975507,-9.81535190158284,4.6645502683926665,-14.479902169975507,-8.92422661262962,5.555675557345886,1.0,0.0,0.0
-15,sample_48_mixed.wav,-15.815410614013672,-12.764307022094727,3.0511035919189453,-13.844274001644116,-12.406411971722079,1.4378620299220373,-13.844274001644116,-11.669413812549543,2.1748601890945736,1.0,0.0,0.0
-15,sample_49_mixed.wav,-15.011725425720215,-11.584085464477539,3.427639961242676,-14.99996113699003,-11.448617245910048,3.5513438910799824,-14.99996113699003,-10.909959528495301,4.090001608494729,1.0,0.0,0.0
-15,sample_50_mixed.wav,-15.29965877532959,-12.590658187866211,2.709000587463379,-14.848662902868435,-12.362289579868271,2.486373323000164,-14.848662902868435,-11.729918549134592,3.1187443537338435,1.0,0.0,0.0
-15,sample_51_mixed.wav,-14.95064926147461,-14.014963150024414,0.9356861114501953,-14.999771641653323,-13.402458592447621,1.5973130492057024,-14.999771641653323,-12.902322041390226,2.097449600263097,1.0,0.0,0.0
-15,sample_52_mixed.wav,-14.92821216583252,-14.772772789001465,0.1554393768310547,-14.861808194763839,-14.535909281263422,0.3258989135004171,-14.861808194763839,-13.872674427560874,0.989133767202965,1.0,1.0,0.0
-15,sample_53_mixed.wav,-15.043841361999512,-11.009134292602539,4.034707069396973,-14.975895871104694,-10.875028402707034,4.100867468397659,-14.975895871104694,-10.04934439134364,4.926551479761054,1.0,1.0,0.0
-15,sample_54_mixed.wav,-15.43366813659668,-7.589807510375977,7.843860626220703,-12.986782661071768,-6.904054282911937,6.082728378159831,-12.986782661071768,-4.421486692696753,8.565295968375015,1.0,1.0,0.0
-15,sample_55_mixed.wav,-14.54564094543457,-13.678543090820312,0.8670978546142578,-14.125766363050133,-12.77562370250115,1.3501426605489826,-14.125766363050133,-10.896133373392571,3.2296329896575617,1.0,1.0,0.0
-15,sample_56_mixed.wav,-15.01640796661377,-13.319429397583008,1.6969785690307617,-14.99991384762536,-12.917153994785608,2.082759852839752,-14.99991384762536,-11.897082005462742,3.102831842162617,1.0,1.0,1.0
-15,sample_57_mixed.wav,-15.120068550109863,-12.482393264770508,2.6376752853393555,-14.96721150060573,-12.210360305290088,2.756851195315642,-14.96721150060573,-11.467701829737845,3.4995096708678854,1.0,0.0,0.0
-15,sample_58_mixed.wav,-15.958166122436523,-11.79057502746582,4.167591094970703,-14.187482115229638,-11.522320771029426,2.6651613442002127,-14.187482115229638,-10.716001796832087,3.4714803183975516,1.0,1.0,1.0
-15,sample_59_mixed.wav,-14.993522644042969,-14.772417068481445,0.22110557556152344,-14.999934788056791,-14.272249609546389,0.7276851785104022,-14.999934788056791,-13.608819167106368,1.3911156209504227,1.0,0.0,0.0
-15,sample_60_mixed.wav,-14.980751037597656,-11.466119766235352,3.5146312713623047,-14.99988244188123,-11.290831386203305,3.709051055677925,-14.99988244188123,-10.377754854673586,4.622127587207643,1.0,0.0,1.0
-15,sample_61_mixed.wav,-15.048673629760742,-10.723400115966797,4.325273513793945,-14.999915834904197,-10.562072146805763,4.437843688098434,-14.999915834904197,-9.444788886570464,5.555126948333733,1.0,0.0,1.0
-15,sample_62_mixed.wav,-16.088651657104492,-12.188776016235352,3.8998756408691406,-10.90667461297415,-11.864893792897412,-0.9582191799232618,-10.90667461297415,-10.662521693619532,0.2441529193546188,1.0,0.0,0.0
-15,sample_63_mixed.wav,-15.009353637695312,-10.98990249633789,4.019451141357422,-14.997995642290778,-10.81108270741187,4.186912934878908,-14.997995642290778,-9.62848869477215,5.369506947518628,1.0,1.0,1.0
-15,sample_64_mixed.wav,-14.4309720993042,-9.352822303771973,5.078149795532227,-13.215799643818247,-8.853432149206032,4.362367494612215,-13.215799643818247,-7.223060411428547,5.992739232389701,1.0,1.0,1.0
-15,sample_65_mixed.wav,-14.954381942749023,-13.000185012817383,1.9541969299316406,-14.892190578473137,-12.22820083202771,2.663989746445427,-14.892190578473137,-10.953314355083068,3.9388762233900696,1.0,1.0,1.0
-15,sample_66_mixed.wav,-15.450438499450684,-7.4424848556518555,8.007953643798828,-13.84890882623032,-7.072315337129506,6.776593489100813,-13.84890882623032,-5.052802726216478,8.79610610001384,1.0,0.0,0.0
-15,sample_67_mixed.wav,-14.911031723022461,-9.511319160461426,5.399712562561035,-14.99416031797985,-9.242742421406051,5.751417896573798,-14.99416031797985,-7.681343666197764,7.312816651782086,1.0,0.0,0.0
-15,sample_68_mixed.wav,-14.886765480041504,-8.313321113586426,6.573444366455078,-14.97767932637804,-8.214978975125758,6.762700351252281,-14.97767932637804,-6.593149173843781,8.384530152534259,1.0,1.0,1.0
-15,sample_69_mixed.wav,-15.024835586547852,-11.43122673034668,3.593608856201172,-14.99968130466931,-11.2599205292581,3.7397607754112094,-14.99968130466931,-10.055507221960024,4.944174082709285,1.0,0.0,1.0
-15,sample_70_mixed.wav,-14.966111183166504,-13.60508918762207,1.3610219955444336,-14.999651586069458,-13.24264142493723,1.7570101611322286,-14.999651586069458,-12.266337965513989,2.733313620555469,1.0,1.0,1.0
-15,sample_71_mixed.wav,-15.312707901000977,-10.83028793334961,4.482419967651367,-14.612877864252567,-10.455860543774024,4.157017320478543,-14.612877864252567,-8.571277090137706,6.041600774114862,1.0,1.0,1.0
-15,sample_72_mixed.wav,-14.98391056060791,-11.965197563171387,3.0187129974365234,-14.963574706261753,-11.37039617770263,3.593178528559122,-14.963574706261753,-10.335784218348405,4.627790487913348,1.0,0.0,1.0
-15,sample_73_mixed.wav,-15.029374122619629,-12.346962928771973,2.6824111938476562,-14.989007351851743,-12.168414415622566,2.8205929362291773,-14.989007351851743,-11.171714344144688,3.8172930077070557,0.0,0.0,0.0
-15,sample_74_mixed.wav,-15.008543014526367,-12.341886520385742,2.666656494140625,-14.999324881935042,-12.086870021553516,2.9124548603815263,-14.999324881935042,-11.121514190819926,3.8778106911151156,1.0,1.0,1.0
-15,sample_75_mixed.wav,-14.993714332580566,-8.08816146850586,6.905552864074707,-14.937318438310779,-7.780439760864613,7.156878677446166,-14.937318438310779,-5.07409459332138,9.863223844989399,1.0,0.0,0.0
-15,sample_76_mixed.wav,-15.012279510498047,-7.253702163696289,7.758577346801758,-14.968221233756587,-7.093828793862595,7.874392439893993,-14.968221233756587,-4.212027541553923,10.756193692202665,1.0,0.0,0.0
-15,sample_77_mixed.wav,-14.875936508178711,-3.801697254180908,11.074239253997803,-14.993712340439407,-3.3447036501169447,11.649008690322463,-14.993712340439407,0.4902124025867752,15.483924743026183,1.0,1.0,0.0
-15,sample_78_mixed.wav,-14.805673599243164,-3.8139944076538086,10.991679191589355,-14.852640317430435,-3.4952138713171,11.357426446113335,-14.852640317430435,0.1967015233222778,15.049341840752712,1.0,1.0,0.0
-15,sample_79_mixed.wav,-16.03812026977539,-2.597341537475586,13.440778732299805,-14.091619555611953,-2.174256363185911,11.917363192426041,-14.091619555611953,1.5587761665661901,15.650395722178143,1.0,1.0,0.0
-15,sample_80_mixed.wav,-16.834136962890625,-0.37945449352264404,16.45468246936798,-13.153209008436082,-0.045968315542923674,13.107240692893159,-13.153209008436082,2.7375176363204954,15.890726644756578,1.0,0.0,0.0
